Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source
Johor Bahru,635000,1650.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,588000,2980.0,4.0,3.0,Semi-D,Mudah
Kluang,190000,840.0,3.0,2.0,Terrace House,Mudah
Skudai,580000,1540.0,4.0,3.0,Terrace House,Mudah
Gelang Patah,1080000,2800.0,5.0,5.0,Terrace House,Mudah
Kluang,228000,1646.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,490000,1079.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,650000,3121.0,5.0,2.0,Terrace House,Mudah
Kulai,430000,1540.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,750000,1300.0,4.0,3.0,Terrace House,Mudah
Kluang,488000,3200.0,5.0,4.0,Terrace House,Mudah
Pasir Gudang,660000,1766.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,468000,1725.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,580000,1400.0,3.0,2.0,Terrace House,Mudah
Skudai,399000,1100.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,798000,2600.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,1299000,2800.0,5.0,5.0,Residential,Mudah
Ulu Tiram,500000,1540.0,3.0,2.0,Terrace House,Mudah
Muar,388000,1540.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,398000,990.0,3.0,2.0,Terrace House,Mudah
Skudai,645000,1400.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,370000,814.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,490000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,920000,1770.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,585000,1400.0,5.0,2.0,Terrace House,Mudah
Johor Bahru,3000000,3200.0,4.0,3.0,Semi-D,Mudah
Skudai,678000,1540.0,4.0,3.0,Terrace House,Mudah
Kluang,330000,2150.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,430000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,708000,1170.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,775000,1400.0,4.0,3.0,Terrace House,Mudah
Kulai,330000,1011.0,3.0,2.0,Residential,Mudah
Johor Bahru,599000,1540.0,4.0,2.0,Terrace House,Mudah
Johor Bahru,1280000,1804.0,0.0,0.0,Terrace House,Mudah
Pasir Gudang,365000,775.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,358000,770.0,4.0,3.0,Terrace House,Mudah
Batu Pahat,328000,1646.0,4.0,3.0,Terrace House,Mudah
Kulai,205000,594.0,3.0,1.0,Terrace House,Mudah
Kluang,420000,3003.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,550000,1500.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,360000,1040.0,2.0,1.0,Terrace House,Mudah
Kluang,428000,1540.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,350000,753.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,538000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,598000,4000.0,6.0,5.0,Terrace House,Mudah
Skudai,599000,1300.0,4.0,3.0,Terrace House,Mudah
Iskandar Puteri,588000,1400.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,700000,1650.0,4.0,3.0,Terrace House,Mudah
Kulai,320000,961.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,700000,1650.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,360000,1040.0,2.0,1.0,Terrace House,Mudah
Pasir Gudang,408000,770.0,2.0,1.0,Terrace House,Mudah
Kluang,550000,4387.0,4.0,3.0,Semi-D,Mudah
Pontian,460000,1400.0,4.0,2.0,Terrace House,Mudah
Kulai,738000,1560.0,5.0,4.0,Terrace House,Mudah
Pasir Gudang,399000,1400.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,399000,1540.0,3.0,2.0,Terrace House,Mudah
Kluang,570000,1540.0,6.0,4.0,Bungalow,Mudah
Kulai,355000,1194.0,2.0,1.0,Terrace House,Mudah
Johor Bahru,830000,3200.0,5.0,4.0,Semi-D,Mudah
Johor Bahru,1180000,1650.0,0.0,0.0,Terrace House,Mudah
Skudai,498000,1170.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,718000,1800.0,4.0,3.0,Terrace House,Mudah
Muar,820000,2924.0,4.0,3.0,Semi-D,Mudah
Pasir Gudang,395000,770.0,3.0,2.0,Terrace House,Mudah
Kulai,350000,770.0,3.0,2.0,Terrace House,Mudah
Iskandar Puteri,720000,1540.0,4.0,3.0,Terrace House,Mudah
Muar,950000,3360.0,5.0,3.0,Terrace House,Mudah
Skudai,214000,650.0,3.0,2.0,Residential,Mudah
Batu Pahat,430000,1540.0,4.0,3.0,Terrace House,Mudah
Kulai,385000,1079.0,3.0,2.0,Terrace House,Mudah
Skudai,388000,770.0,2.0,1.0,Terrace House,Mudah
Skudai,370000,770.0,2.0,1.0,Terrace House,Mudah
Johor Bahru,698000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,678000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,1680000,2560.0,4.0,5.0,Residential,Mudah
Johor Bahru,498000,1584.0,3.0,2.0,Terrace House,Mudah
Kulai,495000,1076.0,4.0,3.0,Terrace House,Mudah
Skudai,498000,1540.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,650000,1672.0,4.0,3.0,Residential,Mudah
Skudai,390000,1040.0,2.0,2.0,Terrace House,Mudah
Johor Bahru,1580000,2671.0,4.0,4.0,Terrace House,Mudah
Pasir Gudang,360000,960.0,3.0,3.0,Terrace House,Mudah
Skudai,480000,1260.0,4.0,3.0,Terrace House,Mudah
Skudai,580000,1540.0,3.0,2.0,Terrace House,Mudah
Skudai,1100000,2500.0,5.0,4.0,Residential,Mudah
Skudai,668000,2800.0,3.0,3.0,Terrace House,Mudah
Skudai,1180000,3958.0,5.0,4.0,Residential,Mudah
Ulu Tiram,618000,1540.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,770000,4047.0,5.0,5.0,Terrace House,Mudah
Pasir Gudang,548000,2500.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,600000,1200.0,4.0,3.0,Terrace House,Mudah
Kulai,612000,2000.0,5.0,4.0,Terrace House,Mudah
Iskandar Puteri,475000,1080.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,636000,1680.0,4.0,4.0,Terrace House,Mudah
Skudai,780000,5629.0,3.0,2.0,Terrace House,Mudah
Kulai,440000,1080.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,490000,1540.0,3.0,3.0,Terrace House,Mudah
Pasir Gudang,443000,1560.0,4.0,3.0,Terrace House,Mudah
Kulai,370000,1400.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,348000,1040.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,800000,4288.0,4.0,4.0,Semi-D,Mudah
Pasir Gudang,590000,1300.0,4.0,3.0,Terrace House,Mudah
Kulai,500000,1672.0,5.0,3.0,Terrace House,Mudah
Skudai,340000,1100.0,2.0,1.0,Terrace House,Mudah
Kulai,330000,775.0,3.0,2.0,Terrace House,Mudah
Kulai,468000,3822.0,3.0,1.0,Terrace House,Mudah
Kulai,510000,2470.0,3.0,2.0,Terrace House,Mudah
Skudai,520000,1170.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,628000,1170.0,4.0,3.0,Terrace House,Mudah
Kulai,390000,1080.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,355000,960.0,3.0,4.0,Terrace House,Mudah
Skudai,775000,2898.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,500000,1400.0,4.0,3.0,Terrace House,Mudah
Gelang Patah,499000,1400.0,4.0,3.0,Terrace House,Mudah
Kluang,338000,1650.0,3.0,2.0,Terrace House,Mudah
Batu Pahat,225000,1192.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,499000,1400.0,3.0,3.0,Terrace House,Mudah
Johor Bahru,360000,1100.0,4.0,2.0,Residential,Mudah
Pasir Gudang,590000,1726.0,4.0,3.0,Terrace House,Mudah
Skudai,1280000,5740.0,5.0,5.0,Semi-D,Mudah
Johor Bahru,700000,4407.0,3.0,2.0,Semi-D,Mudah
Kulai,320000,3316.0,3.0,1.0,Terrace House,Mudah
Pasir Gudang,499000,1400.0,3.0,3.0,Terrace House,Mudah
Kluang,420000,1496.0,4.0,3.0,Terrace House,Mudah
Kulai,510000,1080.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,589000,1540.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,870000,1800.0,4.0,5.0,Terrace House,Mudah
Kulai,480000,1170.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,780000,1680.0,4.0,3.0,Terrace House,Mudah
Kulai,500000,1540.0,4.0,2.0,Terrace House,Mudah
Gelang Patah,565000,1650.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,600000,1760.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,510000,1430.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,419000,1650.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,468000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,1280000,1804.0,0.0,0.0,Terrace House,Mudah
Pasir Gudang,360000,960.0,3.0,3.0,Terrace House,Mudah
Johor Bahru,688000,1170.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,680000,1170.0,4.0,3.0,Terrace House,Mudah
Kulai,465000,1540.0,3.0,2.0,Terrace House,Mudah
Kluang,320000,1302.0,4.0,3.0,Terrace House,Mudah
Skudai,600000,1500.0,3.0,3.0,Semi-D,Mudah
Johor Bahru,698000,1400.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,495000,1540.0,3.0,3.0,Terrace House,Mudah
Pasir Gudang,450000,3242.0,4.0,3.0,Terrace House,Mudah
Kulai,260000,1540.0,3.0,2.0,Terrace House,Mudah
Skudai,440000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,1180000,1650.0,0.0,0.0,Terrace House,Mudah
Kluang,440000,1657.0,4.0,4.0,Terrace House,Mudah
Johor Bahru,580000,1170.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,495000,1560.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,830000,2310.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,560000,1726.0,4.0,3.0,Terrace House,Mudah
Gelang Patah,480000,1080.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,630000,1540.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,2500000,7895.0,10.0,3.0,Bungalow,Mudah
Ulu Tiram,500000,1540.0,3.0,2.0,Terrace House,Mudah
Skudai,678000,1540.0,4.0,3.0,Terrace House,Mudah
Kluang,568000,1360.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,480000,1076.0,4.0,2.0,Residential,Mudah
Iskandar Puteri,2120000,3788.0,6.0,5.0,Terrace House,Mudah
Pasir Gudang,338000,770.0,2.0,1.0,Terrace House,Mudah
Kulai,698000,1500.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,585000,1400.0,5.0,2.0,Terrace House,Mudah
Gelang Patah,980000,2215.0,4.0,4.0,Terrace House,Mudah
Kulai,295000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,398000,700.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,480000,1080.0,3.0,2.0,Terrace House,Mudah
Kulai,540000,3618.0,3.0,3.0,Terrace House,Mudah
Pasir Gudang,500000,1300.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,628000,1170.0,4.0,3.0,Terrace House,Mudah
Permas Jaya,608000,1300.0,4.0,3.0,Terrace House,Mudah
Iskandar Puteri,800000,1400.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,388000,1400.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,460000,1400.0,3.0,3.0,Terrace House,Mudah
Pasir Gudang,443000,1560.0,4.0,3.0,Terrace House,Mudah
Skudai,438000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,490000,1540.0,3.0,3.0,Terrace House,Mudah
Skudai,850000,1540.0,4.0,3.0,Terrace House,Mudah
Skudai,1100000,2750.0,4.0,4.0,Terrace House,Mudah
Pasir Gudang,165000,689.0,3.0,2.0,Residential,Mudah
Pasir Gudang,698000,2800.0,3.0,2.0,Terrace House,Mudah
Kulai,428000,1400.0,3.0,2.0,Terrace House,Mudah
Skudai,598000,1170.0,5.0,3.0,Terrace House,Mudah
Skudai,565000,1650.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,565000,1679.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,1180000,1650.0,0.0,0.0,Terrace House,Mudah
Iskandar Puteri,2000000,3568.0,5.0,6.0,Terrace House,Mudah
Skudai,478000,1540.0,3.0,2.0,Terrace House,Mudah
Batu Pahat,345000,1540.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,1280000,1804.0,0.0,0.0,Terrace House,Mudah
Pasir Gudang,285000,770.0,3.0,2.0,Terrace House,Mudah
Kluang,468000,1540.0,4.0,3.0,Terrace House,Mudah
Kulai,250000,1670.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,880000,2210.0,5.0,3.0,Terrace House,Mudah
Pasir Gudang,320000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,900000,1674.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,360000,775.0,2.0,2.0,Terrace House,Mudah
Kulai,320000,732.0,2.0,1.0,Terrace House,Mudah
Pasir Gudang,460000,1980.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,895000,1680.0,4.0,4.0,Terrace House,Mudah
Kulai,650000,2940.0,4.0,2.0,Terrace House,Mudah
Johor Bahru,880000,1400.0,4.0,4.0,Terrace House,Mudah
Johor Bahru,393000,770.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,370000,814.0,3.0,2.0,Terrace House,Mudah
Kulai,550000,1408.0,4.0,3.0,Terrace House,Mudah
Skudai,830000,3200.0,5.0,4.0,Semi-D,Mudah
Kluang,430000,2100.0,3.0,2.0,Terrace House,Mudah
Kluang,460000,5403.0,4.0,3.0,Bungalow,Mudah
Kluang,198000,775.0,3.0,2.0,Terrace House,Mudah
Muar,364000,2917.0,3.0,2.0,Semi-D,Mudah
Johor Bahru,1800000,3200.0,5.0,7.0,Semi-D,Mudah
Johor Bahru,710000,2100.0,4.0,3.0,Terrace House,Mudah
Kluang,390000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,399000,1400.0,3.0,2.0,Terrace House,Mudah
Skudai,1350000,3000.0,5.0,4.0,Terrace House,Mudah
Kluang,230000,1500.0,3.0,1.0,Terrace House,Mudah
Kulai,165000,770.0,2.0,1.0,Terrace House,Mudah
Kluang,235000,1120.0,3.0,2.0,Terrace House,Mudah
Kluang,366000,1479.0,4.0,2.0,Terrace House,Mudah
Skudai,618000,1650.0,5.0,4.0,Terrace House,Mudah
Pasir Gudang,630000,1400.0,4.0,3.0,Terrace House,Mudah
Kulai,588000,1800.0,4.0,2.0,Terrace House,Mudah
Pasir Gudang,638000,1200.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,920000,2600.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,358000,723.0,4.0,3.0,Terrace House,Mudah
Iskandar Puteri,1800000,3400.0,5.0,5.0,Residential,Mudah
Johor Bahru,675000,1400.0,4.0,3.0,Terrace House,Mudah
Kluang,308800,1314.0,3.0,2.0,Terrace House,Mudah
Ulu Tiram,475000,1400.0,3.0,2.0,Terrace House,Mudah
Ulu Tiram,560000,1540.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,570000,2370.0,4.0,2.0,Terrace House,Mudah
Batu Pahat,428000,1540.0,4.0,3.0,Terrace House,Mudah
Muar,175000,1084.0,2.0,1.0,Terrace House,Mudah
Johor Bahru,700000,4407.0,3.0,2.0,Semi-D,Mudah
Pasir Gudang,578000,1540.0,4.0,3.0,Terrace House,Mudah
Kulai,400000,1798.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,830000,3200.0,5.0,4.0,Semi-D,Mudah
Kulai,650000,3150.0,4.0,2.0,Terrace House,Mudah
Johor Bahru,1450000,6877.0,5.0,3.0,Terrace House,Mudah
Iskandar Puteri,588000,1400.0,3.0,2.0,Terrace House,Mudah
Iskandar Puteri,598000,1540.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,538000,1170.0,3.0,2.0,Terrace House,Mudah
Kulai,598000,1800.0,4.0,2.0,Terrace House,Mudah
Johor Bahru,750000,1760.0,4.0,3.0,Terrace House,Mudah
Iskandar Puteri,1850000,2400.0,3.0,3.0,Residential,Mudah
Kluang,180000,770.0,3.0,2.0,Terrace House,Mudah
Skudai,588000,1400.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,578000,1400.0,3.0,2.0,Terrace House,Mudah
Ulu Tiram,498000,1540.0,3.0,2.0,Terrace House,Mudah
Skudai,413000,1100.0,3.0,2.0,Terrace House,Mudah
Ulu Tiram,350000,753.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,370000,775.0,2.0,1.0,Terrace House,Mudah
Johor Bahru,490000,1400.0,4.0,2.0,Terrace House,Mudah
Skudai,408000,1098.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,465000,1300.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,419000,1650.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,419000,1170.0,4.0,3.0,Terrace House,Mudah
Skudai,438000,1350.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,460000,1400.0,3.0,3.0,Terrace House,Mudah
Iskandar Puteri,1680000,2240.0,4.0,4.0,Terrace House,Mudah
Iskandar Puteri,1650000,3882.0,6.0,6.0,Terrace House,Mudah
Johor Bahru,1600000,8137.0,6.0,4.0,Semi-D,Mudah
Johor Bahru,1350000,6400.0,7.0,4.0,Bungalow,Mudah
Pasir Gudang,358000,1540.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,419000,1650.0,3.0,2.0,Terrace House,Mudah
Skudai,450000,1500.0,3.0,2.0,Terrace House,Mudah
Muar,350000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,386000,775.0,2.0,2.0,Terrace House,Mudah
Ulu Tiram,500000,1540.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,470000,1300.0,4.0,3.0,Terrace House,Mudah
Batu Pahat,230000,776.0,3.0,2.0,Terrace House,Mudah
Kluang,380000,1647.0,4.0,3.0,Terrace House,Mudah
Skudai,678000,1540.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,450000,1300.0,3.0,2.0,Terrace House,Mudah
Kulai,330000,979.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,419000,1170.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,370000,960.0,3.0,3.0,Terrace House,Mudah
Kluang,418000,1650.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,495000,1540.0,3.0,3.0,Terrace House,Mudah
Johor Bahru,460000,960.0,3.0,2.0,Terrace House,Mudah
Kluang,530000,1260.0,4.0,3.0,Terrace House,Mudah
Skudai,480000,1170.0,4.0,3.0,Terrace House,Mudah
Skudai,530000,1170.0,4.0,3.0,Terrace House,Mudah
Kluang,383000,1813.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,465000,1080.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,478000,2282.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,660000,2400.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,528000,1540.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,370000,1400.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,670000,1400.0,5.0,3.0,Terrace House,Mudah
Pasir Gudang,358000,750.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,750000,2852.0,4.0,3.0,Terrace House,Mudah
Kluang,260000,1400.0,4.0,2.0,Terrace House,Mudah
Johor Bahru,450000,1400.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,850000,2800.0,4.0,3.0,Semi-D,Mudah
Kulai,608000,1910.0,4.0,2.0,Terrace House,Mudah
Pasir Gudang,398000,700.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,419000,1650.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,888000,1680.0,2.0,2.0,Terrace House,Mudah
Johor Bahru,398000,990.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,1500000,2706.0,7.0,4.0,Terrace House,Mudah
Johor Bahru,570000,1540.0,6.0,2.0,Terrace House,Mudah
Skudai,535000,1540.0,4.0,2.0,Terrace House,Mudah
Ulu Tiram,420000,1647.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,598000,1300.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,998000,3305.0,4.0,3.0,Semi-D,Mudah
Skudai,450000,1496.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,470000,1500.0,3.0,1.0,Terrace House,Mudah
Pasir Gudang,495000,1400.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,760000,1540.0,4.0,5.0,Terrace House,Mudah
Kulai,1320000,4000.0,6.0,4.0,Semi-D,Mudah
Skudai,1350000,4506.0,6.0,6.0,Semi-D,Mudah
Iskandar Puteri,1580000,2671.0,4.0,4.0,Terrace House,Mudah
Kulai,480000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,470000,1500.0,3.0,1.0,Terrace House,Mudah
Pasir Gudang,520000,1754.0,4.0,2.0,Terrace House,Mudah
Kluang,370000,1400.0,3.0,2.0,Terrace House,Mudah
Kulai,295600,1300.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,438000,1300.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,810000,1672.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,450000,1300.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,399000,1400.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,425000,1650.0,3.0,2.0,Terrace House,Mudah
Kulai,298000,1000.0,3.0,2.0,Residential,Mudah
Gelang Patah,430000,1080.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,580000,1540.0,4.0,3.0,Terrace House,Mudah
Kulai,430000,1442.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,899000,2200.0,5.0,4.0,Terrace House,Mudah
Johor Bahru,490000,1400.0,4.0,2.0,Terrace House,Mudah
Iskandar Puteri,1700000,2800.0,4.0,4.0,Terrace House,Mudah
Skudai,538000,3000.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,775000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,538000,1540.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,450000,963.0,3.0,2.0,Residential,Mudah
Johor Bahru,680000,1400.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,585000,1540.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,678000,1400.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,450000,1540.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,1000000,3149.0,4.0,4.0,Terrace House,Mudah
Pasir Gudang,495000,1400.0,4.0,3.0,Terrace House,Mudah
Gelang Patah,495000,880.0,3.0,2.0,Terrace House,Mudah
Kulai,390000,3197.0,4.0,3.0,Semi-D,Mudah
Skudai,600000,1500.0,3.0,3.0,Semi-D,Mudah
Johor Bahru,1850000,2400.0,5.0,4.0,Residential,Mudah
Kulai,388000,1300.0,2.0,1.0,Terrace House,Mudah
Johor Bahru,579999,1540.0,3.0,2.0,Terrace House,Mudah
Skudai,950000,2944.0,4.0,3.0,Semi-D,Mudah
Ulu Tiram,455000,1680.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,530000,1170.0,4.0,3.0,Terrace House,Mudah
Permas Jaya,540000,1400.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,540000,1400.0,4.0,3.0,Terrace House,Mudah
Ulu Tiram,1280000,3200.0,4.0,3.0,Semi-D,Mudah
Ulu Tiram,628000,1920.0,4.0,2.0,Terrace House,Mudah
Pasir Gudang,570000,2370.0,4.0,2.0,Terrace House,Mudah
Iskandar Puteri,1800000,2800.0,5.0,5.0,Residential,Mudah
Ulu Tiram,348000,1040.0,3.0,2.0,Terrace House,Mudah
Kluang,380000,1400.0,3.0,2.0,Terrace House,Mudah
Kulai,587000,1540.0,4.0,3.0,Terrace House,Mudah
Gelang Patah,1200000,2454.0,5.0,5.0,Residential,Mudah
Kulai,400000,1798.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,538000,1300.0,3.0,2.0,Terrace House,Mudah
Kluang,379000,2884.0,3.0,2.0,Terrace House,Mudah
Ulu Tiram,469000,1540.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,379000,883.0,3.0,2.0,Terrace House,Mudah
Kluang,380000,1540.0,4.0,3.0,Terrace House,Mudah
Skudai,440000,1300.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,419000,1650.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,465000,1080.0,4.0,3.0,Terrace House,Mudah
Permas Jaya,385000,1400.0,3.0,2.0,Terrace House,Mudah
Johor Bahru,950000,2800.0,6.0,5.0,Residential,Mudah
Gelang Patah,565000,1170.0,3.0,3.0,Terrace House,Mudah
Iskandar Puteri,1520000,2044.0,4.0,3.0,Residential,Mudah
Johor Bahru,768000,1760.0,3.0,2.0,Terrace House,Mudah
Kluang,175000,770.0,2.0,1.0,Terrace House,Mudah
Kulai,250000,1668.0,3.0,2.0,Terrace House,Mudah
Kluang,450000,1766.0,4.0,3.0,Terrace House,Mudah
Permas Jaya,398000,700.0,3.0,2.0,Terrace House,Mudah
Skudai,529000,1800.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,478000,1650.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,529000,1400.0,3.0,2.0,Terrace House,Mudah
Gelang Patah,519000,1170.0,4.0,3.0,Terrace House,Mudah
Iskandar Puteri,1650000,2629.0,4.0,4.0,Residential,Mudah
Johor Bahru,2050000,3200.0,6.0,7.0,Semi-D,Mudah
Johor Bahru,1180000,1650.0,0.0,0.0,Terrace House,Mudah
Skudai,1280000,5740.0,5.0,4.0,Semi-D,Mudah
Iskandar Puteri,1350000,2236.0,5.0,5.0,Terrace House,Mudah
Gelang Patah,558000,1170.0,4.0,3.0,Terrace House,Mudah
Kulai,329000,1540.0,3.0,2.0,Terrace House,Mudah
Muar,183708,1410.0,3.0,2.0,Terrace House,Mudah
Batu Pahat,428000,1540.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,1280000,1804.0,0.0,0.0,Terrace House,Mudah
Skudai,695000,1400.0,4.0,3.0,Terrace House,Mudah
Johor Bahru,708000,1170.0,4.0,3.0,Terrace House,Mudah
Gelang Patah,485000,1076.0,4.0,2.0,Terrace House,Mudah
Skudai,600000,2680.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,399000,1400.0,3.0,2.0,Terrace House,Mudah
Batu Pahat,440000,2971.0,4.0,3.0,Semi-D,Mudah
Iskandar Puteri,660000,1760.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,530000,1868.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,499000,2828.0,4.0,3.0,Terrace House,Mudah
Pasir Gudang,398000,700.0,3.0,2.0,Terrace House,Mudah
Pasir Gudang,600000,1400.0,3.0,2.0,Terrace House,Mudah
Ulu Tiram,699000,1398.0,4.0,4.0,Terrace House,Mudah
Johor Bahru,688000,3745.0,4.0,2.0,Terrace House,Mudah
Skudai,399000,1100.0,3.0,2.0,Terrace House,Mudah
Kulai,338000,1044.0,3.0,1.0,Terrace House,Mudah
